type,title,url,info,keywords,collaborators,hover,img,image,organizations,year,organization roles,bibtext,participant roles
Events,Access (2013 - 2020),https://accessconference.ca/,"Canada’s premier library technology conference for librarians, technicians, developers, programmers, and managers. Stacy Allison-Cassin, Sharon Farnel, Kim Martin, William Turkel. ",pedagogy;linked data;metadata;digital humanities,Stacy Allison-Cassin;Sharon Farnel;Kim Martin;William Turkel,,,"access,png",,2013 - 2020,{},,"{'Sharon Farnel': 'Participant', 'William Turkel': 'Participant', 'Kim Martin': 'Participant', 'Stacy Allison-Cassin': 'Attendee'}"
Events,Canadian Linked Data Summit (CLDS) (2016),https://www.mcgill.ca/clds/,"A summit to explore the world of Linked Data and find a path to the future in Canada. Stacy Allison-Cassin, Sharon Farnel. ",linked data;metadata;collaboration,Stacy Allison-Cassin;Sharon Farnel,,clds.png,clds.png,University of Alberta;Library and Archives Canada (LAC);McGill University,2016,"{'University of Alberta': 'Sponsor', 'Library and Archives Canada (LAC)': 'Sponsor', 'McGill University': 'Host'}",,"{'Sharon Farnel': 'Attendee', 'Stacy Allison-Cassin': 'Participant'}"
Events,Canadian Research Data Summit (2019),https://www.rdc-drc.ca/activities/ndsf2019/,The a forum for the Canadian research community to develop a shared understanding of the current data management landscape and recommendations for future initiatives.,,,,,,,2019,{},,{}
Events,Canadian Research Knowledge Network (CRKN) Conference (2004 - 2020),https://www.crkn-rcdr.ca/index.php/en/crkn-conference,"CRKN advances interconnected, sustainable access to the world's research and to Canada's documentary heritage content. Constance Crompton, Sharon Farnel. ",information ethics;metadata;decolonization;archives/collections;cultural heritage,Constance Crompton;Sharon Farnel,,,crkn.png,,2004 - 2020,{},,"{'Sharon Farnel': 'Participant', 'Constance Crompton': 'Participant'}"
Events,Canadian Society of Digital Humanities/Société canadienne des humanités numériques (CSDH/SCHN) (2015 - 2020),https://csdh-schn.org/category/post-en/conference/,"CSDH draws together humanists engaged in digital and computer-assisted research, teaching, and creation, and champions interaction between Canadas anglophone and francophone communities. Susan Brown, Constance Crompton, Kim Martin, William Turkel. ",digital humanities;ontologies;collaboration;programming;historical change,Susan Brown;Constance Crompton;Kim Martin;William Turkel,,,csdh.png,,2015 - 2020,{},,"{'Kim Martin': 'Participant', 'Susan Brown': 'Participant', 'William Turkel': 'Participant', 'Constance Crompton': 'Participant'}"
Events,Code4Lib (2006 - 2020),http://www.keod.ic3k.org/,"Code4lib is a volunteer-driven, worldwide collective of hackers, designers, architects, curators, catalogers, artists, and instigators who work for and with libraries, archives, and museums on technology. William Turkel. ",programming;pedagogy,William Turkel,,,code4lib.png,,2006 - 2020,{},,{'William Turkel': 'Participant'}
Events,Decolonizing the Internet (2018 - 2019),https://whoseknowledge.org/decolonizing-the-internet-conference/,"Whose Knowledge? convenes marginalized community organizers, technologists, scholars, artists, and Wikimedians to work on issues related to marginalized knowledges on the Internet. Stacy Allison-Cassin. ",decolonization;equity;information ethics,Stacy Allison-Cassin,,,,Whose Knowledge,2018 - 2019,{'Whose Knowledge': 'Host'},,{'Stacy Allison-Cassin': 'Organizer'}
Events,DH LOD-SIG Workshops/Mini-conferences (2005 - 2019),https://staticweb.hum.uu.nl/dh2019/dh2019.adho.org/programme/sig-workshops/index.html,"The DH LOD-SIG organizes workshops sponsored by the ADHO. Stacy Allison-Cassin, Constance Crompton, Kim Martin. ",linked data;ontologies;digital humanities,Stacy Allison-Cassin;Constance Crompton;Kim Martin,,,,Alliance of Digital Humanities Organizations (ADHO),2005 - 2019,{'Alliance of Digital Humanities Organizations (ADHO)': 'Sponsor'},,"{'Kim Martin': 'Organizer', 'Constance Crompton': 'Participant', 'Stacy Allison-Cassin': 'Participant'}"
Events,DH@Guelph Summer Workshops (2016 - 2020),https://www.uoguelph.ca/arts/dhguelph/summer2019,"DH@Guelph provides a forum for colleagues to learn about the digital world and its impact on our work. Constance Crompton, Kim Martin. ",digital humanities;pedagogy;feminism;historical change,Constance Crompton;Kim Martin,,dhsw2018.jpg,,University of Guelph;University of Guelph Library,2016 - 2020,"{'University of Guelph': 'Host', 'University of Guelph Library': 'Host'}",,"{'Kim Martin': 'Organizer', 'Constance Crompton': 'Participant'}"
Events,Digital Diversity Conference (2015),http://archive.artsrn.ualberta.ca/digitaldiversity2015,"The Digital Diversity Conference examined the trajectory of feminist digital studies, focusing on how varied projects have opened up the objects and methods of literary history and cultural studies. Constance Crompton. ",digital humanities;diversity;cultural identities,Constance Crompton,,,,,2015,{},,{'Constance Crompton': 'Participant'}
Events,Digital Humanities Summer Institute (DHSI) (2001 - 2019),https://dhsi.org/,"DHSI uses a community-based approach for discussing and learning about new computing technologies and how they are influencing teaching, research, dissemination, creation, and preservation in different disciplines. William Turkel. ",digital humanities,William Turkel,,,dhsi.png,,2001 - 2019,{},,{'William Turkel': 'Other'}
Events,Dublin Core Metadata Initiative (DCMI) International Conference (2001 - 2020),https://www.dublincore.org/conferences/,The Dublin Core Metadata Initiative (DCMI) supports innovation in metadata design and best practices across the metadata ecology. Sharon Farnel.,linked data;metadata,Sharon Farnel,,,dcmi.png,,2001 - 2020,{},,{'Sharon Farnel': 'Participant'}
Events,Implementing New Knowledge Environments (INKE) Meetings/Conferences (2009 - 2020),https://inke.ca/,"INKE conferences bring together researchers and stakeholders at the forefront of computing in the humanities, text analysis, information studies, usability and interface design to understand the nature of the human record as it intersects with the computer. Stacy Allison-Cassin, Constance Crompton. ",digital humanities;linked data,Stacy Allison-Cassin;Constance Crompton,,,,,2009 - 2020,{},,"{'Constance Crompton': 'Participant', 'Stacy Allison-Cassin': 'Attendee'}"
Events,In Our Own Words: Decolonizing Description in the Library and Archival Community (2018),https://scbrwiki.library.yorku.ca/in-our-own-words/,"In Our Own Words brought together community members, scholars, and cultural heritage workers to commit to active steps toward decolonizing the description of cultural heritage materials. Stacy Allison-Cassin. ",decolonization;Indigenous knowledge;archives/collections;critical cataloguing;metadata,Stacy Allison-Cassin,,,,York University Libraries;Ryerson University Library,2018,"{'York University Libraries': 'Host', 'Ryerson University Library': 'Host'}",,{'Stacy Allison-Cassin': 'Organizer'}
Events,International Conference on Knowledge Engineering and Ontology Development (KEOD) (2009 - 2019),http://www.keod.ic3k.org/Websites.aspx,"KEOD brings together concepts and methods from several computer science domains such as artificial intelligence, databases, expert systems, decision support systems, and information systems. Deb Stacey. ",ontologies,Deb Stacey,,,,,2009 - 2019,{},,{'Deb Stacey': 'Participant'}
Events,International Federation of Library Associations World Library and Information Congress (IFLA WLIC) (1934 - 2019),https://2020.ifla.org/,,,,,,,,1934 - 2019,{},,{}
Events,LD4 Conferences (2018 - 2020),https://sites.google.com/stanford.edu/ld42020/,"LD4 brings together a broad range of perspectives, and centers diversity, equity, inclusion, and ethics to create a community of practice for linked data in libraries. Stacy Allison-Cassin, Susan Brown, Sharon Farnel. ",linked data;metadata;ontologies;critical cataloguing;archives/collections,Stacy Allison-Cassin;Susan Brown;Sharon Farnel,,ldil2020.png,,,2018 - 2020,{},,"{'Susan Brown': 'Participant', 'Sharon Farnel': 'Attendee', 'Stacy Allison-Cassin': 'Participant'}"
Events,Linked Pasts Conferences (2015 - 2020),https://ics.sas.ac.uk/events/linked-pasts-6,Linked Pasts bring together scholars and practitioners with an interest in Linked Open Data relating to the historical world.,,,,,,,2015 - 2020,{},,{}
Events,LODLAM Summits (2011 - 2020),https://lodlam.net/schedule/,"LODLAM hosts conferences for Linked Open Data in association with Libraries, Archives and Museums. Stacy Allison-Cassin, Susan Brown. ",linked data;ontologies;cultural heritage;digital storytelling;archives/collections,Stacy Allison-Cassin;Susan Brown,,,,Getty;Jisc,2011 - 2020,"{'Getty': 'Sponsor', 'Jisc': 'Sponsor'}",,"{'Susan Brown': 'Attendee', 'Stacy Allison-Cassin': 'Organizer'}"
Events,Semantic Web in Libraries (SWIB) (2009 - 2019),http://swib.org/swib20/,"SWIB brings together IT staff, developers, librarians, and researchers from over the world to learn about Linked Open Data in libraries and related organizations. Stacy Allison-Cassin, Sharon Farnel. ",linked data;metadata,Stacy Allison-Cassin;Sharon Farnel,,,,Hochschulbibliothekszentrum des Landes Nordrhein-Westfalen (hbz);Leibniz-Informationszentrum Wirtschaft,2009 - 2019,"{'Hochschulbibliothekszentrum des Landes Nordrhein-Westfalen (hbz)': 'Sponsor', 'Leibniz-Informationszentrum Wirtschaft': 'Sponsor'}",,"{'Sharon Farnel': 'Attendee', 'Stacy Allison-Cassin': 'Participant'}"
Events,Text Encoding Initiative Consortium (TEI-C) Conference (2001 - 2019),https://members.tei-c.org/Events/meetings/,,,,,,,,2001 - 2019,{},,{}
Events,WikiConference North America (2016 - 2019),https://wikiconference.org/wiki/2020/Main_Page,WikiConference North America is the annual conference of Wikimedia enthusiasts and volunteers from throughout North America. Stacy Allison-Cassin.,cultural heritage;equity;infrastructure,Stacy Allison-Cassin,,,,Credability Coalition,2016 - 2019,{'Credability Coalition': 'Sponsor'},,{'Stacy Allison-Cassin': 'Participant'}
Events,Wikidata Conferences (2017 - 2019),,Stacy Allison-Cassin.,cultural heritage;linked data;infrastructure;metadata,Stacy Allison-Cassin,,,,,2017 - 2019,{},,{'Stacy Allison-Cassin': 'Participant'}
Projects,Canadian Linked Data Initiative (CLDI) (2016 - ),https://connect.library.utoronto.ca/display/U5LD/Canadian+Linked+Data+Initiative+Home,"The CLDI works cooperatively with libraries to articulate, plan, and find funding for projects that will coordinate the metadata production activities of library technical services units, special collections, and digital libraries in both English and French. Stacy Allison-Cassin, Sharon Farnel. ",linked data;metadata;collaboration,Stacy Allison-Cassin;Sharon Farnel,,cldi.png,,,2016 -,{},,"{'Sharon Farnel': 'Other', 'Stacy Allison-Cassin': 'Other'}"
Projects,Canadian Writing Research Collaboratory (CWRC) (2011 - ),https://cwrc.ca/,"CWRC brings together researchers working with online technologies to investigate writing and related cultural practices relevant to Canada and to the digital turn. Susan Brown, Constance Crompton, Kim Martin, Deb Stacey. ",collaboration;pedagogy;cultural heritage;ontologies;data preservation/management,Susan Brown;Constance Crompton;Kim Martin;Deb Stacey,cwrc.png,,,University of Guelph;University of Alberta,2011 -,"{'University of Guelph': 'Institutional Affiliation', 'University of Alberta': 'Institutional Affiliation'}",,"{'Deb Stacey': 'Collaborator', 'Kim Martin': 'Collaborator', 'Susan Brown': 'Principal Investigator', 'Constance Crompton': 'Other'}"
Projects,CHIN: 150 Years of Canadian Art (2015 - 2016),https://app.pch.gc.ca/sgc-cms/nouvelles-news/anglais-english/?p=10182,,,,,chin.png,,,2015 - 2016,{},,{}
Projects,CHIN: Makers in Canada (2018 - ),https://github.com/chin-rcip/collections-model,,,,,chinnormenclature.png,,,2018 -,{},,{}
Projects,CHIN: Nomenclature,https://www.nomenclature.info/apropos-about.app?lang=en,,,,,,,,,{},,{}
Projects,Digging into Data Projects,https://diggingintodata.org/,Digging into Data Projects addresses how Big Data changes the research landscape for the humanities and social sciences. William Turkel.,historical change;programming;digital humanities,William Turkel,,diggingintodata.png,,,,{},,{'William Turkel': 'Co-Investigator'}
Projects,Linked Data4 (LD4) (2019 - ),https://sites.google.com/stanford.edu/ld42020/,"LD4 investigates concrete ways that linked data benefits GLAM institutions, and it discovesr pathways to participation in linked data. Sharon Farnel. ",linked data;metadata;collaboration,Sharon Farnel,,,,,2019 -,{},,{'Sharon Farnel': 'Collaborator'}
Projects,Linked Infrastructure for Networked Cultural Scholarship (LINCS) (2020 - ),https://lincsproject.ca/,"LINCS will create the conditions to think differently, with machines, about human culture in Canada. Stacy Allison-Cassin, Susan Brown, Sharon Farnel, Kim Martin, Deb Stacey. ",linked data;cultural heritage;ontologies;infrastructure;cultural identities,Stacy Allison-Cassin;Susan Brown;Sharon Farnel;Kim Martin;Deb Stacey,lincs2020.png,lincs.png,,University of Guelph;University of Alberta;University of Victoria;Scholars Portal;McGill University;Texas A&M University;Bucknell University;Canadian Research Knowledge Network (CRKN);Culture Creates;Canadian Writing Research Collaboratory (CWRC);Library and Archives Canada/Bibliothèque et Archives Canada (LAC/BAC);Nooron;University of Ottawa;Voyant Tools,2020 -,"{'University of Guelph': 'Institutional Affiliation', 'University of Alberta': 'Institutional Affiliation', 'University of Victoria': 'Institutional Affiliation', 'Scholars Portal': 'Research Partner', 'McGill University': 'Institutional Affiliation', 'Texas A&M University': 'Research Partner', 'Bucknell University': 'Research Partner', 'Canadian Research Knowledge Network (CRKN)': 'Research Partner', 'Culture Creates': 'Research Partner', 'Canadian Writing Research Collaboratory (CWRC)': 'Research Partner', 'Library and Archives Canada/Bibliothèque et Archives Canada (LAC/BAC)': 'Research Partner', 'Nooron': 'Research Partner', 'University of Ottawa': 'Research Partner', 'Voyant Tools': 'Research Partner'}",,"{'Susan Brown': 'Principal Investigator', 'Deb Stacey': 'Co-Investigator', 'Kim Martin': 'Co-Investigator', 'Sharon Farnel': 'Collaborator', 'Stacy Allison-Cassin': 'Other'}"
Projects,Out of the Trenches ( - 2012),https://web.archive.org/web/20170914141448/http://www.canadiana.ca/pcdhn-lod,Out of the Trenches is a proof-of-concept project that showcases a sample of digital resources using Linked Open Data and principles of the Semantic Web. Sharon Farnel.,linked data;cultural heritage;collaboration,Sharon Farnel,,outofthetrenches.png,,Library and Archives Canada/Bibliothèque et Archives Canada (LAC/BAC);University of Alberta Library;McGill University Library;University of Calgary;University of Saskatchewan,-2012,"{'Library and Archives Canada/Bibliothèque et Archives Canada (LAC/BAC)': 'Research Partner', 'University of Alberta Library': 'Research Partner', 'McGill University Library': 'Research Partner', 'University of Calgary': 'Research Partner', 'University of Saskatchewan': 'Research Partner'}",,{'Sharon Farnel': 'Collaborator'}
Projects,The Programming Historian (2014 - ),https://programminghistorian.org/,"The Programming Historian publishes novice-friendly, peer-reviewed tutorials to facilitate research and teaching by teaching humanists to use a wide range of digital tools, techniques, and workflows. William Turkel. ",programming;pedagogy,William Turkel,ph.png,ph.png,,,2014 -,{},,{'William Turkel': 'Principal Investigator'}
Publications,A Community-Driven Metadata Framework for Describing Cultural Resources: The Digital Library North Project,https://doi.org/10.1080/01639374.2017.1312723,"by Sandra Campbell, Cathy Cockney, Sharon Farnel, Dinesh Rathi, Ali Shiri, Robyn Stobbs. Cataloging & Classification Quarterly (2017).",Indigenous knowledge;metadata;decolonization;collaboration,Sandra Campbell;Cathy Cockney;Sharon Farnel;Dinesh Rathi;Ali Shiri;Robyn Stobbs,,,,Social Sciences and Humanities Research Council (SSHRC);Inuvialuit Cultural Resource Centre,2017,"{'Social Sciences and Humanities Research Council (SSHRC)': 'Sponsor', 'Inuvialuit Cultural Resource Centre': 'Research Partner'}","{'journal': 'Cataloging & Classification Quarterly', 'title': 'A Community-Driven Metadata Framework for Describing Cultural Resources: The Digital Library North Project', 'author': 'Sharon Farnel and Ali Shiri and Sandra Campbell and Cathy Cockney and Dinesh Rathi and Robyn Stobbs', 'pages': '289--306', 'number': '5', 'volume': '55', 'publisher': 'Informa UK Limited', 'month': 'may', 'year': '2017', 'url': 'https://doi.org/10.1080%2F01639374.2017.1312723', 'doi': '10.1080/01639374.2017.1312723', 'ENTRYTYPE': 'article', 'ID': 'Farnel_2017'}",{}
Publications,"An Entity By Any Other Name: Linked Open Data as a Basis for a Decentered, Dynamic Scholarly Publishing Ecology",https://doi.org/10.22230/src.2015v6n2a212,"by Susan Brown, John Simpson. Scholarly and Research Communication (2015).",vocabularies/authorities;infrastructure;linked data;publishing,Susan Brown;John Simpson,,,,Implementing New Knowledge Environments (INKE);Canadian Writing Research Collaboratory (CWRC);University of Guelph,2015,"{'Implementing New Knowledge Environments (INKE)': 'Research Partner', 'Canadian Writing Research Collaboratory (CWRC)': 'Research Partner', 'University of Guelph': 'Institutional Affiliation'}","{'journal': 'Scholarly and Research Communication', 'title': 'An Entity By Any Other Name: Linked Open Data as a Basis for a Decentered, Dynamic Scholarly Publishing Ecology', 'author': 'Susan Brown and John Simpson', 'number': '2', 'volume': '6', 'publisher': 'CISP Journal Services', 'month': 'oct', 'year': '2015', 'url': 'https://doi.org/10.22230%2Fsrc.2015v6n2a212', 'doi': '10.22230/src.2015v6n2a212', 'ENTRYTYPE': 'article', 'ID': 'Brown_2015'}",{}
Publications,ARL White Paper on Wikidata: Opportunities and Recommendations,http://doi.org/10.1080/19386389.2016.1258891,"by Stacy Allison-Cassin, Alison Armstrong, Phoebe Ayers, Tom Cramer, Mark Custer, Mairelys Lemus-Rojas, Sally Mccallum, Merrilee Proffitt, Mark A. Puente, Judy Ruttenberg, Alex Stinson. A Scenes Approach to Metadata Models for Music (2016).",critical cataloguing;linked data;metadata;networks,Stacy Allison-Cassin;Alison Armstrong;Phoebe Ayers;Tom Cramer;Mark Custer;Mairelys Lemus-Rojas;Sally Mccallum;Merrilee Proffitt;Mark A. Puente;Judy Ruttenberg;Alex Stinson,,,,,2016,{},"{'journal': 'Journal of Library Metadata', 'title': 'A Scenes Approach to Metadata Models for Music', 'author': 'Stacy Allison-Cassin', 'pages': '181--201', 'number': '3-4', 'volume': '16', 'publisher': 'Informa UK Limited', 'month': 'oct', 'year': '2016', 'url': 'https://doi.org/10.1080%2F19386389.2016.1258891', 'doi': '10.1080/19386389.2016.1258891', 'ENTRYTYPE': 'article', 'ID': 'Allison_Cassin_2016'}",{}
