type,title,url,info,keywords,collaborators,hover,img,image,organizations,year,organization roles,bibtext,participant roles
Publications,Community-Driven Knowledge Organization for Cultural Heritage Digital Libraries: The Case of the Inuvialuit Settlement Region,http://dx.doi.org/10.7152/acro.v29i1.15453,"by Sharon Farnel, Ali Shiri. Advances in Classification Research Online (2019).",Indigenous knowledge;metadata;decolonization;collaboration,Sharon Farnel;Ali Shiri,,,,Social Sciences and Humanities Research Council (SSHRC);Inuvialuit Cultural Resource Centre,2019,"{'Social Sciences and Humanities Research Council (SSHRC)': 'Sponsor', 'Inuvialuit Cultural Resource Centre': 'Research Partner'}","{'journal': 'Advances in Classification Research Online', 'title': 'Community-Driven Knowledge Organization for Cultural Heritage Digital Libraries: The Case of the Inuvialuit Settlement Region', 'author': 'Sharon Farnel and Ali Shiri', 'pages': '9', 'number': '1', 'volume': '29', 'publisher': 'University of Washington Libraries', 'month': 'jun', 'year': '2019', 'url': 'https://doi.org/10.7152%2Facro.v29i1.15453', 'doi': '10.7152/acro.v29i1.15453', 'ENTRYTYPE': 'article', 'ID': 'Farnel_2019'}",{}
Publications,Connecting the Coterie: Linking Women in Early Modern England,http://dx.doi.org/10.17613/d38m-c624,"by Diane Jakacki, Kim Martin. Humanities Commons (2019).",linked data;visualization;feminism,Diane Jakacki;Kim Martin,,,,,2019,{},"{'copyright': 'Attribution-NonCommercial-NoDerivatives', 'year': '2019', 'publisher': 'Humanities Commons', 'title': 'Connecting the Coterie: Linking Women in Early Modern England', 'language': 'en', 'keywords': 'Digital humanities, Digital scholarly editing, Theatre history, Text encoding, Linked open data', 'author': 'Jakacki, Diane and Martin, Kim', 'url': 'https://hcommons.org/deposits/item/hc:23765/', 'doi': '10.17613/D38M-C624', 'ENTRYTYPE': 'article', 'ID': 'https://doi.org/10.17613/d38m-c624'}",{}
Publications,Cultural (Re-)formations: Structuring a Linked Data Ontology for Intersectional Identities,https://dh2017.adho.org/abstracts/580/580.pdf,"by Susan Brown, Colin Faulkner, Abigel Lemak, Kim Martin, Alliyya Mo, Jade Penancier, Robert Warren. (2017).",digital humanities;linked data;feminism;cultural identities,Susan Brown;Colin Faulkner;Abigel Lemak;Kim Martin;Alliyya Mo;Jade Penancier;Robert Warren,,,,Canadian Writing Research Collaboratory (CWRC);The Orlando Project;University of Guelph,2017,"{'Canadian Writing Research Collaboratory (CWRC)': 'Sponsor', 'The Orlando Project': 'Sponsor', 'University of Guelph': 'Institutional Affiliation'}",Digital Humanities 2017 Conference Abstracts.,{}
Publications,Cultural (Re-)formations: Structuring a Linked Data Ontology for Intersectional Identities,https://dh2017.adho.org/abstracts/580/580.pdf,"by Susan Brown, Colin Faulkner, Abigel Lemak, Kim Martin, Rob. Warren. (2017).",ontologies;linked data;cultural identities,Susan Brown;Colin Faulkner;Abigel Lemak;Kim Martin;Rob. Warren,,,,Canadian Writing Research Collaboratory (CWRC);The Orlando Project,2017,"{'Canadian Writing Research Collaboratory (CWRC)': 'Research Partner', 'The Orlando Project': 'Research Partner'}","Paper presented at DH2017, Montreal.",{}
Publications,Delivery Service: Gender and the Political Unconscious of Digital Humanities,https://doi.org/10.5749/9781452963792,by Susan Brown. Bodies of Information (2019).,feminism;inclusiveness;digital humanities,Susan Brown,,,,,2019,{},"{'title': 'Bodies of Information', 'editor': 'Elizabeth Losh and Jacqueline Wernimont', 'author': ""Babalola Titilola Aiyegbusi and Moya Bailey and Bridget Blodgett and Barbara Bordalejo and Jason Boyd and Christina Boyles and Susan Brown and Lisa Brundage and micha c'ardenas and Marcia Chatelain and Danielle Cole and Beth Coleman and T. L. Cowan and Constance Crompton and Amy e. Earhart and Nickoal Eichmann-Kalwara and Julia Flanders and Sandra Gabriele and Brian Getnick and Karen Gregory and Alison Hedley and Kathryn Holland and James Howe and Jeana Jorgensen and Alexandra Juhasz and Dorothy Kim and Kim Brillante Knight and Lorraine Janzen Kooistra and Sharon M. Leon and Izetta Autumn Mobley and Padmini Ray Murray and Veronica Paredes and Roopika Risam and Bonnie Ruberg and Laila Shereen Sakr and Anastasia Salter and Michelle Schwartz and Emily Sherwood and Deb Verhoeven and Scott B. Weingart"", 'publisher': 'University of Minnesota Press', 'month': 'jan', 'year': '2019', 'url': 'https://doi.org/10.5749%2F9781452963792', 'doi': '10.5749/9781452963792', 'ENTRYTYPE': 'book', 'ID': 'Aiyegbusi_2019'}",{}
Publications,"Digital Research Methods with Mathematica, 2nd rev ed",https://williamjturkel.net/digital-research-methods-with-mathematica/,by William Turkel. (2020).,programming;digital humanities;pedagogy,William Turkel,,,,,2020,{},,{}
Publications,"Doing Digital Humanities: Practice, Training, Research",http://doi.org/10.5334/kula.50,"by Constance Crompton, Richard J. Lane, Ray Siemens. The Seventies Sociality: Activist Publishers and the Digital Commonplacing of New Knowledge (2019).",linked data;feminism;collaboration,Constance Crompton;Richard J. Lane;Ray Siemens,,,,,2019,{},"{'journal': 'KULA: knowledge creation, dissemination, and preservation studies', 'title': 'The Seventies Sociality: Activist Publishers and the Digital Commonplacing of New Knowledge', 'author': 'Constance Crompton and Caitlin Voth and Ruth Truong', 'number': '1', 'volume': '3', 'publisher': 'Ubiquity Press, Ltd.', 'year': '2019', 'url': 'https://doi.org/10.5334%2Fkula.50', 'doi': '10.5334/kula.50', 'ENTRYTYPE': 'article', 'ID': 'Crompton_2019'}",{}
Publications,"Doing More Digital Humanities: Open Approaches to Creation, Growth",https://www.routledge.com/Doing-More-Digital-Humanities-Open-Approaches-to-Creation-Growth-and/Crompton-Lane-Siemens/p/book/9780367192990,"by Constance Crompton, Richard J. Lane, Ray Siemens. (2020).",digital humanities;equity;feminism;collaboration,Constance Crompton;Richard J. Lane;Ray Siemens,,,,,2020,{},"1. (2020). Doing More Digital Humanities: Open Approaches to Creation, Growth, and Development: 350. Constance Crompton, Richard J. Lane, and Ray Siemens. Routledge, Toronto, Canada",{}
Publications,Forming the Canadian Linked Data Initiative.,https://docs.lib.purdue.edu/iatul/2016/data/1,"by Sharon Farnel, J. Hafner, C. Tillman. (2016).",linked data;metadata;collaboration,Sharon Farnel;J. Hafner;C. Tillman,,,,Canadian Linked Data Initiative (CLDI),2016,{'Canadian Linked Data Initiative (CLDI)': 'Sponsor'},"International Association of University Libraries (IATUL) Conference, Halifax, NS, 5-9 June 2016",{}
Publications,Lean Ontology Development: An Ontology Development Paradigm based on Continuous Innovation,https://doi.org/10.5220/0006963003670374,"by Joel Cummings, Deb Stacey. Proceedings of the 10th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (2018).",ontologies;programming,Joel Cummings;Deb Stacey,,,,Mellon Foundation;Canadian Writing Research Collaboratory (CWRC);Records of Early English Drama (REED),2018,"{'Mellon Foundation': 'Sponsor', 'Canadian Writing Research Collaboratory (CWRC)': 'Research Partner', 'Records of Early English Drama (REED)': 'Research Partner'}","{'booktitle': 'Proceedings of the 10th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management', 'title': 'Lean Ontology Development: An Ontology Development Paradigm based on Continuous Innovation', 'author': 'Joel Cummings and Deborah Stacey', 'publisher': 'SCITEPRESS - Science and Technology Publications', 'year': '2018', 'url': 'https://doi.org/10.5220%2F0006963003670374', 'doi': '10.5220/0006963003670374', 'ENTRYTYPE': 'inproceedings', 'ID': 'Cummings_2018'}",{}
Publications,Project | Process | Product: Feminist Digital Subjectivity in a Shifting Scholarly Field,https://doi.org/10.5749/9781452963792,"by Susan Brown, Kathryn Holland. Bodies of Information (2019).",digital humanities;linked data;feminism;historical change,Susan Brown;Kathryn Holland,,,,Canadian Writing Research Collaboratory (CWRC);The Orlando Project;Cambridge University Press,2019,"{'Canadian Writing Research Collaboratory (CWRC)': 'Sponsor', 'The Orlando Project': 'Sponsor', 'Cambridge University Press': 'Publishing/Dissemination Partner'}","{'title': 'Bodies of Information', 'editor': 'Elizabeth Losh and Jacqueline Wernimont', 'author': ""Babalola Titilola Aiyegbusi and Moya Bailey and Bridget Blodgett and Barbara Bordalejo and Jason Boyd and Christina Boyles and Susan Brown and Lisa Brundage and micha c'ardenas and Marcia Chatelain and Danielle Cole and Beth Coleman and T. L. Cowan and Constance Crompton and Amy e. Earhart and Nickoal Eichmann-Kalwara and Julia Flanders and Sandra Gabriele and Brian Getnick and Karen Gregory and Alison Hedley and Kathryn Holland and James Howe and Jeana Jorgensen and Alexandra Juhasz and Dorothy Kim and Kim Brillante Knight and Lorraine Janzen Kooistra and Sharon M. Leon and Izetta Autumn Mobley and Padmini Ray Murray and Veronica Paredes and Roopika Risam and Bonnie Ruberg and Laila Shereen Sakr and Anastasia Salter and Michelle Schwartz and Emily Sherwood and Deb Verhoeven and Scott B. Weingart"", 'publisher': 'University of Minnesota Press', 'month': 'jan', 'year': '2019', 'url': 'https://doi.org/10.5749%2F9781452963792', 'doi': '10.5749/9781452963792', 'ENTRYTYPE': 'book', 'ID': 'Aiyegbusi_2019'}",{}
Publications,Remaking History: Lesbian Feminist Historical Methods in the Digital Humanities,https://doi.org/10.5749/9781452963792,"by Constance Crompton, Michelle Schwartz. Bodies of Information (2019).",digital humanities;feminism;historical change,Constance Crompton;Michelle Schwartz,,,,,2019,{},"{'title': 'Bodies of Information', 'editor': 'Elizabeth Losh and Jacqueline Wernimont', 'author': ""Babalola Titilola Aiyegbusi and Moya Bailey and Bridget Blodgett and Barbara Bordalejo and Jason Boyd and Christina Boyles and Susan Brown and Lisa Brundage and micha c'ardenas and Marcia Chatelain and Danielle Cole and Beth Coleman and T. L. Cowan and Constance Crompton and Amy e. Earhart and Nickoal Eichmann-Kalwara and Julia Flanders and Sandra Gabriele and Brian Getnick and Karen Gregory and Alison Hedley and Kathryn Holland and James Howe and Jeana Jorgensen and Alexandra Juhasz and Dorothy Kim and Kim Brillante Knight and Lorraine Janzen Kooistra and Sharon M. Leon and Izetta Autumn Mobley and Padmini Ray Murray and Veronica Paredes and Roopika Risam and Bonnie Ruberg and Laila Shereen Sakr and Anastasia Salter and Michelle Schwartz and Emily Sherwood and Deb Verhoeven and Scott B. Weingart"", 'publisher': 'University of Minnesota Press', 'month': 'jan', 'year': '2019', 'url': 'https://doi.org/10.5749%2F9781452963792', 'doi': '10.5749/9781452963792', 'ENTRYTYPE': 'book', 'ID': 'Aiyegbusi_2019'}",{}
Publications,Rethinking Representation: Indigenous Peoples and Contexts at the University of Alberta Libraries,https://doi.org/10.33137/ijidi.v2i3.32190,"by Ian Bigelow, Anne Carr-Wiggin, Sharon Farnel, Debbie Feisst, Denise Koufogiannakis, Kayla Lar-Son, Sheila Laroque. The International Journal of Information, Diversity, & Inclusion (IJIDI) (2018).",decolonization;information ethics;Indigenous knowledge,Ian Bigelow;Anne Carr-Wiggin;Sharon Farnel;Debbie Feisst;Denise Koufogiannakis;Kayla Lar-Son;Sheila Laroque,,,,University of Alberta Library,2018,{'University of Alberta Library': 'Institutional Affiliation'},"{'journal': 'The International Journal of Information, Diversity, & Inclusion (IJIDI)', 'title': 'Rethinking Representation: Indigenous Peoples and Contexts at the University of Alberta Libraries', 'author': 'Sharon Farnel and Denise Koufogiannakis and Sheila Laroque and Ian Bigelow and Anne Carr-Wiggin and Debbie Feisst and Kayla Lar-Son', 'number': '3', 'volume': '2', 'publisher': 'University of Toronto Libraries - UOTL', 'month': 'jul', 'year': '2018', 'url': 'https://doi.org/10.33137%2Fijidi.v2i3.32190', 'doi': '10.33137/ijidi.v2i3.32190', 'ENTRYTYPE': 'article', 'ID': 'Farnel_2018'}",{}
Publications,STAK - Serendipitous tool for augmenting knowledge: A conceptual tool for bridging digital and physical resources,http://doi.org/10.16995/dscn.265,"by Brian Greenspan, Kim Martin, Anabel Quan-Haase. Digital Studies/Le champ num'erique (2017).",interfaces;serendipity;visualization;design,Brian Greenspan;Kim Martin;Anabel Quan-Haase,,,,,2017,{},"{'journal': ""Digital Studies/Le champ num'erique"", 'title': 'STAK - Serendipitous tool for augmenting knowledge: A conceptual tool for bridging digital and physical resources', 'author': 'Kim Martin and Brian Greenspan and Anabel Quan-Haase', 'number': '0', 'volume': '9', 'publisher': 'Open Library of the Humanities', 'month': 'feb', 'year': '2017', 'url': 'https://doi.org/10.16995%2Fdscn.265', 'doi': '10.16995/dscn.265', 'ENTRYTYPE': 'article', 'ID': 'Martin_2017'}",{}
Publications,The Canadian Linked Data Summit: Developing Canada’s linked data future through cooperative alliances,https://digitalcommons.du.edu/collaborativelibrarianship/vol9/iss1/4,"by J. J. Browning, R. E. Desmeules, Sharon Farnel, A. Senior. (2017).",linked data;metadata;collaboration,J. J. Browning;R. E. Desmeules;Sharon Farnel;A. Senior,,,,Canadian Linked Data Initiative (CLDI),2017,{'Canadian Linked Data Initiative (CLDI)': 'Sponsor'},"Collaborative Librarianship, 9(1), 12-20.",{}
Publications,The curious identity of Michael Field and its implications for humanities research with the semantic web,https://doi.org/10.1109/BigData.2013.6691674,"by Susan Brown, John Simpson. 2013 IEEE International Conference on Big Data (2013).",linked data;ontologies;cultural heritage;feminism,Susan Brown;John Simpson,,,,Canadian Writing Research Collaboratory (CWRC);Implementing New Knowledge Environments (INKE);Social Sciences and Humanities Research Council (SSHRC),2013,"{'Canadian Writing Research Collaboratory (CWRC)': 'Sponsor', 'Implementing New Knowledge Environments (INKE)': 'Research Partner', 'Social Sciences and Humanities Research Council (SSHRC)': 'Sponsor'}","{'booktitle': '2013 IEEE International Conference on Big Data', 'title': 'The curious identity of Michael Field and its implications for humanities research with the semantic web', 'author': 'Susan Brown and John Simpson', 'publisher': 'IEEE', 'month': 'oct', 'year': '2013', 'url': 'https://doi.org/10.1109%2Fbigdata.2013.6691674', 'doi': '10.1109/bigdata.2013.6691674', 'ENTRYTYPE': 'inproceedings', 'ID': 'Brown_2013'}",{}
Publications,The CWRC Ontology Specification 0.99.80,https://doi.org/10.5683/SP2/HXMS24,"by Susan Brown, Constance Crompton, Joel Cummings, Jasmine Drudge-Willson, Colin Faulkner, Abigel Lemak, Kim Martin, Alliyya Mo, Jade Penancier, John Simpson, Gurjap Singh, Thomas Smith, Deb Stacey, Robert Warren. Scholars Portal Dataverse (2019).",digital humanities;cultural identities;cultural heritage;ontologies,Susan Brown;Constance Crompton;Joel Cummings;Jasmine Drudge-Willson;Colin Faulkner;Abigel Lemak;Kim Martin;Alliyya Mo;Jade Penancier;John Simpson;Gurjap Singh;Thomas Smith;Deb Stacey;Robert Warren,,,,Canadian Writing Research Collaboratory (CWRC);The Orlando Project;University of Guelph,2019,"{'Canadian Writing Research Collaboratory (CWRC)': 'Sponsor', 'The Orlando Project': 'Sponsor', 'University of Guelph': 'Institutional Affiliation'}","{'year': '2019', 'publisher': 'Scholars Portal Dataverse', 'title': 'The CWRC Ontology Specification 0.99.80', 'author': 'Brown, Susan and Cummings, Joel and Drudge-Willson, Jasmine and Faulkner, Colin and Lemak, Abigel and Martin, Kim and Mo, Alliyya and Penancier, Jade and Simpson, John and Smith, Thomas and Singh, Gurjap and Stacey, Deborah and Warren, Robert and Crompton, Constance', 'url': 'https://dataverse.scholarsportal.info/citation?persistentId=doi:10.5683/SP2/HXMS24', 'doi': '10.5683/SP2/HXMS24', 'ENTRYTYPE': 'misc', 'ID': 'https://doi.org/10.5683/sp2/hxms24'}",{}
Publications,The Possibility of the Infinite Library: Exploring the Conceptual Boundaries of Works and Texts of Bibliographic Description,http://doi.org/10.1080/19386389.2012.700606,by Stacy Allison-Cassin. Journal of Library Metadata (2012).,critical cataloguing;metadata;archives/collections,Stacy Allison-Cassin,,,,,2012,{},"{'journal': 'Journal of Library Metadata', 'title': 'The Possibility of the Infinite Library: Exploring the Conceptual Boundaries of Works and Texts of Bibliographic Description', 'author': 'Stacy Allison-Cassin', 'pages': '294--309', 'number': '2-3', 'volume': '12', 'publisher': 'Informa UK Limited', 'month': 'apr', 'year': '2012', 'url': 'https://doi.org/10.1080%2F19386389.2012.700606', 'doi': '10.1080/19386389.2012.700606', 'ENTRYTYPE': 'article', 'ID': 'Allison_Cassin_2012'}",{}
Publications,Towards Best Practices in Collaborative Knowledge Production,,by Susan Brown. (2016).,methods documentation;infrastructure;digital humanities;metadata,Susan Brown,,,,Canadian Writing Research Collaboratory (CWRC);University of Guelph,2016,"{'Canadian Writing Research Collaboratory (CWRC)': 'Research Partner', 'University of Guelph': 'Institutional Affiliation'}","Brown, Susan. ""Towards best practices in collaborative online knowledge production."" Doing digital humanities: Practice, training, research (2016): 47.",{}
Publications,Understanding Community Appropriate Metadata through Bernstein's Theory of Language Codes,https://doi.org/10.1080/19386389.2017.1285141,by Sharon Farnel. Journal of Library Metadata (2017).,metadata;contextualization,Sharon Farnel,,,,,2017,{},"{'journal': 'Journal of Library Metadata', 'title': ""Understanding Community Appropriate Metadata through Bernstein's Theory of Language Codes"", 'author': 'Sharon Farnel', 'pages': '5--18', 'number': '1', 'volume': '17', 'publisher': 'Informa UK Limited', 'month': 'jan', 'year': '2017', 'url': 'https://doi.org/10.1080%2F19386389.2017.1285141', 'doi': '10.1080/19386389.2017.1285141', 'ENTRYTYPE': 'article', 'ID': 'Farnel_2017'}",{}
Publications,Wages Due Both Then and Now,,"by Constance Crompton, Pascale Dangoisse, Michelle Schwartz. (2021).",digital humanities;linked data;ontologies;visualization,Constance Crompton;Pascale Dangoisse;Michelle Schwartz,,,,,2021,{},"1. Pascale Dangoisse, Constance Crompton and Michelle Schwartz. (forthcoming 2021). Wages Due Both Then and Now. Paul Barret and Sarah Roger. Digital Humanities in Canada. MIT Press. (revised ms. submitted)",{}
Publications,Who Will be Our bf: Comparing techniques for conversion from MARC to BIBFRAME,http://library.ifla.org/2194/,"by Ian Bigelow, Danoosh Davoodi, Sharon Farnel, Abigail Sparling. (2018).",linked data;metadata,Ian Bigelow;Danoosh Davoodi;Sharon Farnel;Abigail Sparling,,,,University of Alberta Library,2018,{'University of Alberta Library': 'Institutional Affiliation'},"Paper presented at: IFLA WLIC 2018 – Kuala Lumpur, Malaysia – Transform Libraries, Transform Societies in Session 141 - Cataloguing.",{}
Publications,Wikidata: A Platform for Your Library’s Linked Open Data,http://doi.org/10.16995/dscn.27,"by Stacy Allison-Cassin, Dan Scott. (2016).",digital humanities;diversity;feminism;metadata,Stacy Allison-Cassin;Dan Scott,,,,,2016,{},"{'journal': ""Digital Studies/Le champ num'erique"", 'title': 'Lesbian and Gay Liberation in Canada: Representing the Dyke Dynamo', 'author': 'Michelle Schwartz and Constance Crompton', 'number': '0', 'volume': '0', 'publisher': 'Open Library of the Humanities', 'month': 'mar', 'year': '2016', 'url': 'https://doi.org/10.16995%2Fdscn.27', 'doi': '10.16995/dscn.27', 'ENTRYTYPE': 'article', 'ID': 'Schwartz_2016'}",{}